"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"ph-road-safety-logical-model.encounter.originating.modifierExtension","ph-road-safety-logical-model.encounter.originating.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ph-road-safety-logical-model.encounter.originating.organization","ph-road-safety-logical-model.encounter.originating.organization","","","",0,1,"","","","Reference {[]} {[]}
","Originating Hospital","Originating Hospital","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.originating.organization",0,1,"",""
"ph-road-safety-logical-model.encounter.originating.practitioner","ph-road-safety-logical-model.encounter.originating.practitioner","","","",0,1,"","","","Reference {[]} {[]}
","Originating Physician","Originating Physician","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.originating.practitioner",0,1,"",""
"ph-road-safety-logical-model.encounter.disposition","ph-road-safety-logical-model.encounter.disposition","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Disposition at ER/OPD/RHU (MDS51, MDS55)","Disposition at ER/OPD/RHU (MDS51, MDS55)","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.disposition",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ph-road-safety-logical-model.encounter.disposition.id","ph-road-safety-logical-model.encounter.disposition.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ph-road-safety-logical-model.encounter.disposition.extension","ph-road-safety-logical-model.encounter.disposition.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"ph-road-safety-logical-model.encounter.disposition.coding","ph-road-safety-logical-model.encounter.disposition.coding","","","",0,*,"","","Y","Coding {[]} {[]}
","Code defined by a terminology system","A reference to a code defined by a terminology system.","Codes may be defined very casually in enumerations, or code lists, up to very formal definitions such as SNOMED CT - see the HL7 v3 Core Principles for more information.  Ordering of codings is undefined and SHALL NOT be used to infer meaning. Generally, at most only one of the coding values will be labeled as UserSelected = true.","Allows for alternative encodings within a code system, and translations to other code systems.","","","","","","","",,,,,"",,,,"CodeableConcept.coding",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ph-road-safety-logical-model.encounter.disposition.text","ph-road-safety-logical-model.encounter.disposition.text","","","",0,1,"","","Y","string {[]} {[]}
","Disposition - Others (MDS56)","Disposition - Others (MDS56)","Very often the text is the same as a displayName of one of the codings.","The codes from the terminologies do not always capture the correct meaning with all the nuances of the human using them, or sometimes there is no appropriate code at all. In these cases, the text is used to capture the full meaning of the source.","","","","","","","",,,,,"",,,,"CodeableConcept.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ph-road-safety-logical-model.encounter.transferDestination","ph-road-safety-logical-model.encounter.transferDestination","","","",0,1,"","","","Reference {[]} {[]}
","Transferred to another facility (MDS52, MDS57)","Transferred to another facility (MDS52, MDS57)","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.transferDestination",0,1,"",""
"ph-road-safety-logical-model.encounter.outcomeAtRelease","ph-road-safety-logical-model.encounter.outcomeAtRelease","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Outcome at release (MDS53)","Outcome at release (MDS53)","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.outcomeAtRelease",0,1,"",""
"ph-road-safety-logical-model.encounter.outcomeAtDischarge","ph-road-safety-logical-model.encounter.outcomeAtDischarge","","","",0,1,"","","","CodeableConcept {[]} {[]}
","Outcome at discharge (MDS58)","Outcome at discharge (MDS58)","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.encounter.outcomeAtDischarge",0,1,"",""
"ph-road-safety-logical-model.workflow","ph-road-safety-logical-model.workflow","","","",0,1,"","","","BackboneElement {[]} {[]}
","Workflow / Timeline","Workflow / Timeline","","","","","","","","","",,,,,"",,,,"ph-road-safety-logical-model.workflow",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"ph-road-safety-logical-model.workflow.id","ph-road-safety-logical-model.workflow.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"ph-road-safety-logical-model.workflow.extension","ph-road-safety-logical-model.workflow.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
